SPECGRP,SPECGRPN,NAME,ADDRESS,CITY,ZIP,COUNTY,ASSETS,DEPOSITS, DEPDOM ,EQUITY,NETINC,ROA,ROE,OFFDOM,WEBADDR,NAMEHCR,ROAPTX,TRUST,CERTCONS,BKCLASS,CHRTAGNT,ENDEFYMD,ESTYMD,INSDATE,REPDTE,RISDATE,STCHRTR,STCNTY,FLDOFF,REGAGNT,OFFFOR,STALPHCR,STMULT,SUBCHAPS
8,All Other Specialization  < 1 Billion,Planters Bank & Trust Company,212 Catchings Street,Indianola,38751,Sunflower,791761,701279,701279,69883,6896,1.18,14.03,13,http://www.planters-bank.com,Planters Holding Company,1.65,1,0,NM,STATE,12/31/9999,4/10/1920,1/1/1934,9/30/2014,9/30/2014,1,28133,Jackson Ms,FDIC,0,MS,0,0
8,All Other Specialization  < 1 Billion,Great Southern National Bank,218 22nd Avenue South,Meridian,39301,Lauderdale,272616,245989,245989,25910,1648,0.81,8.65,14,www.gsnb.com,Great Southern Capital Corporation,1.16,1,0,N,OCC,12/31/9999,3/2/1902,1/1/1934,9/30/2014,9/30/2014,0,28075,Jackson Ms,OCC,0,MS,0,0
8,All Other Specialization  < 1 Billion,The First National Bank of Pontotoc,19 South Main Street,Pontotoc,38863,Pontotoc,258686,220481,220481,34710,1414,0.72,5.58,3,http://www.1stnbpontotoc.com,Pontotoc Bancshares Corp.,0.89,0,0,N,OCC,12/31/9999,1/1/1900,1/1/1934,9/30/2014,9/30/2014,0,28115,Memphis,OCC,0,MS,0,0
8,All Other Specialization  < 1 Billion,First American National Bank,1251 First American Drive,Iuka,38852,Tishomingo,258276,224102,224102,27614,1234,0.64,6,9,www.fanb.net,"First American Bancshares, Inc.",0.64,0,0,N,OCC,12/31/9999,9/5/1964,9/5/1964,9/30/2014,9/30/2014,0,28141,Jackson Ms,OCC,0,MS,0,1
8,All Other Specialization  < 1 Billion,Bank of Yazoo City,104 North Main Street,Yazoo City,39194,Yazoo,228180,195170,195170,22053,1425,0.83,9.01,7,http://www.bankofyazoo.com,Yazoo Capital Corporation,1.09,1,0,NM,STATE,12/31/9999,1876-04-15,1/1/1934,9/30/2014,9/30/2014,1,28163,Jackson Ms,FDIC,0,MS,0,0
8,All Other Specialization  < 1 Billion,The Bank of Holly Springs,114 S Memphis St,Holly Springs,38635,Marshall,206955,174301,174301,29205,2776,1.77,13.21,5,http://www.bankofhollysprings.com,Holly Springs Bancshares Inc,1.77,0,0,NM,STATE,12/31/9999,1869-02-01,1/1/1934,9/30/2014,9/30/2014,1,28093,Memphis,FDIC,0,MS,0,1
8,All Other Specialization  < 1 Billion,Newton County Bank,114 East Church Street,Newton,39345,Newton,157990,135135,135135,21245,1657,1.4,10.49,6,www.newtoncountybank.com,"Newton County Bancorporation, Inc. Employee Stock Ownership Plan",1.4,1,0,NM,STATE,12/31/9999,9/4/1912,1/1/1934,9/30/2014,9/30/2014,1,28101,Jackson Ms,FDIC,0,MS,0,1
8,All Other Specialization  < 1 Billion,The Commercial Bank,175 Hopper Avenue,De Kalb,39328,Kemper,126180,106005,106005,13286,582,0.6,6.02,5,www.commercialbankms.com,Commercial Capital Corporation,0.89,0,0,NM,STATE,12/31/9999,12/1/1914,1/1/1934,9/30/2014,9/30/2014,1,28069,Jackson Ms,FDIC,0,MS,0,0
8,All Other Specialization  < 1 Billion,Holmes County Bank & Trust Company,316 Court Square,Lexington,39095,Holmes,109824,94694,94694,13004,216,0.26,2.25,4,http://www.holmesbk.com,Holmes County Capital Corporation,0.26,1,0,NM,STATE,12/31/9999,1/1/1932,1/1/1934,9/30/2014,9/30/2014,1,28051,Jackson Ms,FDIC,0,MS,0,1
8,All Other Specialization  < 1 Billion,Merchants & Farmers Bank,650 Highway 7 South,Holly Springs,38635,Marshall,91764,80667,80667,9754,479,0.7,7.02,6,http://www.mandfbankhs.com,"M & F Bancorp, Inc.",0.7,1,0,NM,STATE,12/31/9999,1899-03-15,1/1/1934,9/30/2014,9/30/2014,1,28093,Memphis,FDIC,0,MS,0,1
8,All Other Specialization  < 1 Billion,Citizens Bank,8077 State Highway 178,Byhalia,38611,Marshall,69804,61250,61250,8224,460,0.86,7.81,3,http://WWW.CITIZENSBYHALIA.COM,Marshall Financial Corporation,0.97,0,0,NM,STATE,12/31/9999,11/1/1919,1/1/1934,9/30/2014,9/30/2014,1,28093,Memphis,FDIC,0,MS,0,0
8,All Other Specialization  < 1 Billion,Bank of Morton,366 South 4th Street,Morton,39117,Scott,66815,56210,56210,8502,1219,2.49,19.61,1,www.bankofmorton.com,"Morton Bancorp, Inc.",2.49,0,0,NM,STATE,12/31/9999,1/1/1904,1/1/1934,9/30/2014,9/30/2014,1,28123,Jackson Ms,FDIC,0,MS,0,1
8,All Other Specialization  < 1 Billion,Richton Bank & Trust Company,114 South Front Street,Richton,39476,Perry,63642,54021,54021,9347,410,0.85,5.94,3,www.richtonbank.com,"Centon Bancorp, Inc.",0.85,0,0,NM,STATE,12/31/9999,1/1/1931,1/1/1934,9/30/2014,9/30/2014,1,28111,Jackson Ms,FDIC,0,MS,0,1
8,All Other Specialization  < 1 Billion,Bank of Walnut Grove,101 Chadwick Ave,Walnut Grove,39189,Leake,54603,46152,46152,8014,444,1.1,7.6,1, , ,1.14,0,0,NM,STATE,12/31/9999,1/1/1923,1/1/1934,9/30/2014,9/30/2014,1,28079,Jackson Ms,FDIC,0, ,0,1
